School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
Winters Mill High School,Winter's Mill High School,Carroll,2,3/17/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,9,3/24/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,10,3/24/2021,15:00:00+00
Clear Springs High School,Clear Spring High School,Washington,3,3/24/2021,15:00:00+00
Francis Scott Key Elementary School,Francis Scott Key Elementary School,Baltimore City,3,3/24/2021,15:00:00+00
Frederick High School,Frederick High School,Frederick,4,3/24/2021,15:00:00+00
Immaculate Conception School,Immaculate Conception School,Baltimore,6,3/24/2021,15:00:00+00
The John Carroll School,The John Carroll School,Harford,3,3/24/2021,15:00:00+00
KIPP Harmony Academy,KIPP Harmony Academy,Baltimore City,3,3/24/2021,15:00:00+00
Lincolnshire Elementary School,Lincolnshire Elementary,Washington,3,3/24/2021,15:00:00+00
Manchester Valley High School,Manchester Valley High School,Carroll,3,3/24/2021,15:00:00+00
Mt. Aetna Adventist School,Mt. Aetna Adventist School,Washington,4,3/24/2021,15:00:00+00
Odenton Christian School,Odenton Christian School,Anne Arundel,10,3/24/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,4,3/24/2021,15:00:00+00
"Rochambeau, The French International School","Rochambeau, The French International School",Montgomery,2,3/24/2021,15:00:00+00
Sabillasville Elementary School,Sabillasville Elementary School,Frederick,2,3/24/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,3,3/24/2021,15:00:00+00
St. John Regional Catholic School,St. John Regional Catholic School,Frederick,2,3/24/2021,15:00:00+00
St. Thomas More Academy,St. Thomas More Academy,Frederick,15,3/24/2021,15:00:00+00
Stepping Stones Learning Academy,Stepping Stones Learning Academy,Wicomico,6,3/24/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy - Elementary School,Baltimore,4,3/24/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy - High School,Baltimore,2,3/24/2021,15:00:00+00
The Norwood School,The Norwood School,Montgomery,2,3/24/2021,15:00:00+00
Walt Whitman High School,Walt Whitman High School,Montgomery,4,3/24/2021,15:00:00+00
Waverly Elementary School,Waverly Elementary School,Howard,2,3/24/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,9,3/24/2021,15:00:00+00
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,2,3/24/2021,15:00:00+00
Winston Churchill High School,Winston Churchill High School,Montgomery,2,3/24/2021,15:00:00+00
Winters Mill High School,Winter's Mill High School,Carroll,3,3/24/2021,15:00:00+00
Archbishop Curley High School,Archbishop Curley High School,Baltimore City,2,3/31/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,9,3/31/2021,15:00:00+00
Bohemia Manor High School,Bohemia Manor High School,Cecil,3,3/31/2021,15:00:00+00
